"filename", "language", "XML", "JSON", "HTML", "Ini", "CMake", "log", "C", "C++", "CMake Cache", "comment", "blank", "total"
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\.utmp\RelWithDebInfo\402kj4p4\arm64-v8a\.cmake\api\v1\reply\cache-v2-c9d07c37109dc30cd501.json", "JSON", 0, -1415, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1416
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\.utmp\RelWithDebInfo\402kj4p4\arm64-v8a\.cmake\api\v1\reply\cmakeFiles-v1-a40f8971d48f6f60ed78.json", "JSON", 0, -810, 0, 0, 0, 0, 0, 0, 0, 0, -1, -811
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\.utmp\RelWithDebInfo\402kj4p4\arm64-v8a\.cmake\api\v1\reply\codemodel-v2-b58f778d282a08183069.json", "JSON", 0, -87, 0, 0, 0, 0, 0, 0, 0, 0, -1, -88
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\.utmp\RelWithDebInfo\402kj4p4\arm64-v8a\.cmake\api\v1\reply\directory-.-RelWithDebInfo-d0094a50bb2071803777.json", "JSON", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, -1, -15
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\.utmp\RelWithDebInfo\402kj4p4\arm64-v8a\.cmake\api\v1\reply\directory-GameActivity-RelWithDebInfo-3edf2ef9e25ca0503118.json", "JSON", 0, -14, 0, 0, 0, 0, 0, 0, 0, 0, -1, -15
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\.utmp\RelWithDebInfo\402kj4p4\arm64-v8a\.cmake\api\v1\reply\index-2026-05-01T14-38-45-0752.json", "JSON", 0, -92, 0, 0, 0, 0, 0, 0, 0, 0, -1, -93
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\.utmp\RelWithDebInfo\402kj4p4\arm64-v8a\.cmake\api\v1\reply\target-game-RelWithDebInfo-44edf840e60b9260cdb2.json", "JSON", 0, -326, 0, 0, 0, 0, 0, 0, 0, 0, -1, -327
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\.utmp\RelWithDebInfo\402kj4p4\arm64-v8a\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, -330, 0, -86, -416
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\.utmp\RelWithDebInfo\402kj4p4\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, -55, 0, 0, 0, 0, 0, -18, -73
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\.utmp\RelWithDebInfo\402kj4p4\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, -64, 0, 0, 0, 0, 0, -20, -84
"c:\Dev\Unity\DOTS-TFC\DOTS_RTS_Prototype\.utmp\RelWithDebInfo\402kj4p4\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeSystem.cmake", "CMake", 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, -5, -16
